	Adelie1	Adelie2	Adelie3	Adelie4	Gentoo1	Gentoo2	Gentoo3	Gentoo4
PENG0000011757	278	254	366	167	305	167	209	299
PENG0000011758	1	0	0	0	0	0	1	0
PENG0000011759	1	2	3	0	1	0	2	1
PENG0000011760	0	0	0	0	0	0	0	0
PENG0000011761	0	0	0	0	0	0	0	0
PENG0000011762	686	1023	1021	633	793	778	1740	977
PENG0000011763	10	14	18	19	3	5	16	10
PENG0000011764	144	84	417	152	115	31	511	38
PENG0000011765	0	0	0	0	0	0	0	0
PENG0000011766	0	0	0	0	0	0	0	0
PENG0000011767	50	92	120	45	23	35	78	22
PENG0000011768	0	0	0	0	0	0	0	1
PENG0000011769	0	0	0	0	0	0	0	0
PENG0000011770	0	0	0	0	0	0	0	0
PENG0000011771	2	0	2	0	0	0	0	0
PENG0000011772	352	359	350	311	360	218	497	381
PENG0000011773	944	1441	1135	1093	802	844	1483	1343
PENG0000011774	6806	8304	8585	6135	6544	5408	11039	7780
PENG0000011775	1114	1248	1246	893	1102	656	1491	1006
PENG0000011776	0	0	0	0	0	0	1	0
PENG0000011777	0	0	0	0	0	0	0	0
PENG0000011778	157	204	161	168	128	80	169	114
PENG0000011779	0	0	0	1	0	0	0	0
PENG0000011780	0	0	0	0	0	0	0	0
PENG0000011781	0	0	0	0	0	0	0	0
PENG0000011782	2	0	3	2	5	3	4	2
PENG0000011783	3	1	2	6	3	2	6	1
PENG0000011784	379	379	468	292	324	259	581	316
PENG0000011785	278	330	284	236	224	169	279	239
PENG0000011786	824	874	1020	770	722	633	1260	760
PENG0000011787	1341	1838	1865	1151	1438	1326	2532	1802
PENG0000011788	93	191	164	118	137	139	303	167
PENG0000011789	0	0	0	0	0	0	0	0
PENG0000011790	327	277	341	245	254	140	318	213
PENG0000011791	0	0	0	0	0	0	0	0
PENG0000011792	613	817	596	794	567	399	631	754
PENG0000011793	68	306	68	97	43	62	168	46
PENG0000011794	0	0	0	0	0	0	0	0
PENG0000011795	0	0	0	0	0	0	0	0
PENG0000011796	2062	1976	1978	1645	1956	1221	2605	1728
PENG0000011797	0	0	0	0	0	0	0	0
PENG0000011798	352	408	440	341	314	257	465	360
PENG0000011799	1713	1795	2703	1598	2573	1847	4727	3225
PENG0000011800	1449	1396	1549	969	1163	738	1695	976
PENG0000011801	0	0	0	0	0	0	0	0
PENG0000011802	420	497	555	355	307	281	520	377
PENG0000011803	0	0	0	0	0	0	0	0
PENG0000011804	0	0	0	0	0	0	0	0
PENG0000011805	101	2015	584	1078	170	1366	1206	1895
PENG0000011806	474	488	486	388	517	364	688	495
PENG0000011807	92	126	119	128	83	81	158	97
PENG0000011808	451	422	425	310	408	252	555	379
PENG0000011809	116	145	88	104	69	50	108	86
PENG0000011810	1553	1621	1778	1384	1397	1068	1794	1542
PENG0000011811	0	1	0	0	0	1	1	0
PENG0000011812	0	0	0	0	0	0	1	0
PENG0000011813	0	0	0	0	0	1	0	0
PENG0000011814	5	6	1	5	3	4	4	4
PENG0000011815	21	379	23	256	3	55	11	130
PENG0000011816	423	567	525	327	379	318	567	346
PENG0000011817	0	0	0	0	0	0	0	0
PENG0000011818	0	0	0	0	0	0	0	0
PENG0000011819	882	1247	1311	863	1085	1363	2470	1643
PENG0000011820	0	0	1	0	0	0	2	0
PENG0000011821	153	141	142	97	139	87	157	112
PENG0000011822	0	0	0	0	0	0	0	0
PENG0000011823	1	1	5	1	1	2	2	2
PENG0000011824	369	509	486	549	295	223	511	511
PENG0000011825	571	1462	676	810	2301	1811	1875	2688
PENG0000011826	0	0	0	0	1	0	0	0
PENG0000011827	11	17	16	10	7	4	17	5
PENG0000011828	0	0	0	0	0	0	0	0
PENG0000011829	3427	4616	4879	2656	3253	1856	4622	2527
PENG0000011830	1	0	0	0	0	0	0	0
PENG0000011831	0	0	0	0	0	0	0	0
PENG0000011832	1724	2172	2087	1655	1393	1215	2920	1869
PENG0000011833	0	0	0	0	0	0	0	0
PENG0000011834	0	0	0	0	0	1	0	0
PENG0000011835	0	0	0	0	0	0	0	0
PENG0000011836	0	0	0	0	1	0	0	0
PENG0000011837	4	24	5	1	2	6	5	2
PENG0000011838	0	1	0	0	0	0	0	0
PENG0000011839	530	483	470	432	493	220	425	400
PENG0000011840	0	0	0	0	0	0	0	0
PENG0000011841	654	702	753	470	666	480	1091	649
PENG0000011842	13	1	1	8	12	1	0	4
PENG0000011843	0	0	0	0	0	0	0	0
PENG0000011844	656	771	757	632	581	493	950	709
PENG0000011845	6487	6451	5902	4619	5825	3642	6865	4464
PENG0000011846	107	138	163	82	145	141	238	174
PENG0000011847	0	0	0	0	0	0	0	0
PENG0000011848	0	0	0	0	0	1	0	0
PENG0000011849	0	0	0	0	0	0	0	0
PENG0000011850	1	1	0	0	3	0	1	0
PENG0000011851	26	19	10	6	27	11	32	9
PENG0000011852	5568	6719	6067	4882	5203	4149	7250	6179
PENG0000011853	19	13	7	11	19	5	15	19
PENG0000011854	3	1	2	0	2	0	3	1
PENG0000011855	10	35	32	27	14	15	31	20
PENG0000011856	0	0	0	0	0	0	1	0
PENG0000011857	0	0	0	0	0	0	0	0
PENG0000011858	1120	1269	1745	971	1042	696	1896	1028
PENG0000011859	0	0	0	0	1	0	0	0
PENG0000011860	333	332	292	205	316	261	465	250
PENG0000011861	0	0	0	0	0	0	0	0
PENG0000011862	0	0	0	0	0	0	0	0
PENG0000011863	0	1	0	0	0	0	0	0
PENG0000011864	0	0	0	0	0	0	0	0
PENG0000011865	2	0	2	1	2	0	3	1
PENG0000011866	0	0	0	0	0	0	0	0
PENG0000011867	0	0	2	1	1	1	0	2
PENG0000011868	0	0	0	0	0	0	0	0
PENG0000011869	773	1264	1354	871	632	609	1216	740
PENG0000011870	8	13	7	8	4	3	13	14
PENG0000011871	12	37	7	0	5	9	8	0
PENG0000011872	0	0	2	0	0	0	0	0
PENG0000011873	4	6	11	8	4	3	7	0
PENG0000011874	5	0	3	5	1	1	5	4
PENG0000011875	956	1057	994	639	918	644	1358	767
PENG0000011876	0	0	0	0	0	0	0	0
PENG0000011877	1248	1516	1467	1081	1183	952	1477	1000
PENG0000011878	1	4	1	0	1	0	0	0
PENG0000011879	545	621	760	510	453	428	779	614
PENG0000011880	0	1	0	1	0	0	0	0
PENG0000011881	0	0	0	1	0	0	1	0
PENG0000011882	1	1	2	0	0	1	0	0
PENG0000011883	0	0	0	0	0	0	0	0
PENG0000011884	42	25	48	27	22	16	47	16
PENG0000011885	0	0	0	0	0	0	0	0
PENG0000011886	0	0	0	0	0	0	0	0
PENG0000011887	0	0	0	0	0	0	0	0
PENG0000011888	162	237	262	187	202	171	325	253
PENG0000011889	1	2	4	9	8	12	10	16
PENG0000011890	0	0	0	0	0	0	0	0
PENG0000011891	143	383	181	312	113	225	141	285
PENG0000011892	0	0	0	0	0	0	0	0
PENG0000011893	185	212	195	187	165	125	194	157
PENG0000011894	0	0	0	0	0	0	0	0
PENG0000011895	187	340	398	220	140	174	336	185
PENG0000011896	112	149	201	110	194	142	396	143
PENG0000011897	0	0	0	0	0	0	0	0
PENG0000011898	3	16	12	9	5	7	17	4
PENG0000011899	398	270	654	192	108	40	469	44
PENG0000011900	0	0	0	0	0	0	0	0
PENG0000011901	3	8	6	4	3	1	4	4
PENG0000011902	37	47	42	23	97	44	162	82
PENG0000011903	6275	7043	8102	5029	5689	3128	8335	5348
PENG0000011904	434	547	471	377	334	228	489	366
PENG0000011905	319	366	508	309	234	137	369	220
PENG0000011906	32	31	41	31	42	26	66	64
PENG0000011907	0	0	0	0	0	0	0	0
PENG0000011908	0	0	0	0	0	0	0	0
PENG0000011909	2	4	0	0	0	0	0	0
PENG0000011910	0	0	0	0	0	0	0	0
PENG0000011911	484	610	655	408	441	306	768	437
PENG0000011912	0	1	0	0	0	0	0	0
PENG0000011913	224	269	287	212	222	178	533	283
PENG0000011914	0	0	0	0	0	0	0	0
PENG0000011915	126	116	143	118	156	107	209	144
PENG0000011916	0	0	0	0	0	0	0	0
PENG0000011917	0	1	0	0	0	0	0	0
PENG0000011918	175	201	239	178	145	102	170	169
PENG0000011919	283	319	346	243	193	188	389	244
PENG0000011920	229	269	269	200	140	138	293	202
PENG0000011921	7	7	4	7	3	7	10	2
PENG0000011922	1	2	0	7	5	0	1	3
PENG0000011923	72	71	84	75	49	28	87	80
PENG0000011924	1415	1555	1455	1181	1297	809	1818	1279
PENG0000011925	0	0	0	0	1	0	1	0
PENG0000011926	5	5	0	9	8	1	3	5
PENG0000011927	2	2	0	3	4	0	0	2
PENG0000011928	348	423	355	344	370	199	327	356
PENG0000011929	0	0	0	0	0	0	0	0
PENG0000011930	1	0	0	0	0	1	0	0
PENG0000011931	164	186	218	161	175	151	252	167
PENG0000011932	3274	2546	7125	3015	1389	879	4701	2107
PENG0000011933	869	1115	944	748	1075	1051	1405	1590
PENG0000011934	0	3	1	0	0	0	0	0
PENG0000011935	0	0	1	0	0	0	0	0
PENG0000011936	107	108	35	207	42	15	6	51
PENG0000011937	3	2	1	0	0	1	5	1
PENG0000011938	5	6	4	8	2	2	5	2
PENG0000011939	1	3	5	10	1	0	7	3
PENG0000011940	1114	1111	1193	1021	1090	986	1608	1195
PENG0000011941	618	1674	940	669	540	735	1661	692
PENG0000011942	1760	1830	1750	1526	1769	1303	2598	1686
PENG0000011943	3888	5384	4922	3510	3402	2973	5480	3687
PENG0000011944	3236	3415	3004	2923	3130	2048	3967	3055
PENG0000011945	0	0	0	0	0	0	0	0
PENG0000011946	12	14	11	10	25	13	7	14
PENG0000011947	283	1068	265	471	238	931	711	692
PENG0000011948	0	0	0	0	0	0	0	0
PENG0000011949	363	330	395	328	264	221	404	275
PENG0000011950	16	67	37	38	16	22	25	8
PENG0000011951	931	915	992	745	855	602	1297	892
PENG0000011952	0	0	0	0	0	0	0	0
PENG0000011953	493	617	573	406	418	389	732	441
PENG0000011954	0	0	1	0	0	0	0	0
PENG0000011955	159	273	191	175	167	150	351	240
PENG0000011956	0	0	0	0	0	0	0	0
PENG0000011957	393	363	736	283	450	326	1014	406
PENG0000011958	3339	3952	3927	2756	3301	2587	6053	3132
PENG0000011959	51	70	22	63	18	36	26	57
PENG0000011960	11	11	0	13	10	7	0	6
PENG0000011961	2006	2079	1906	1799	2085	1335	2457	1944
PENG0000011962	0	0	0	0	0	0	0	0
PENG0000011963	0	0	0	0	0	0	0	0
PENG0000011964	0	0	1	0	0	0	0	0
PENG0000011965	0	0	0	0	0	0	0	0
PENG0000011966	255	284	290	232	159	135	272	211
PENG0000011967	1957	1494	1480	1644	1669	714	1593	1405
PENG0000011968	0	0	0	0	0	0	0	0
PENG0000011969	0	0	0	0	0	0	0	0
PENG0000011970	3	3	3	1	1	0	3	3
PENG0000011971	0	0	0	0	0	0	0	0
PENG0000011972	0	0	0	0	0	0	0	0
PENG0000011973	0	0	0	0	0	0	0	0
PENG0000011974	0	0	0	0	0	0	0	0
PENG0000011975	1374	1563	1700	1243	1012	736	2043	1136
PENG0000011976	0	0	0	0	0	0	0	0
PENG0000011977	264	84	239	233	166	43	130	142
PENG0000011978	0	1	0	0	0	0	0	0
PENG0000011979	6	6	4	7	8	2	7	7
PENG0000011980	2	2	0	1	0	1	3	1
PENG0000011981	882	1080	1333	833	1109	670	1732	939
PENG0000011982	610	710	659	535	616	415	946	583
PENG0000011983	0	0	0	0	0	0	0	0
PENG0000011984	434	446	387	279	287	215	482	308
PENG0000011985	454	470	477	322	388	293	600	328
PENG0000011986	25	30	51	39	17	16	72	11
PENG0000011987	5	19	7	9	5	3	4	2
PENG0000011988	383	478	390	427	179	125	205	276
PENG0000011989	0	0	0	0	0	0	0	0
PENG0000011990	0	0	1	0	1	0	1	0
PENG0000011991	159	198	221	138	161	117	254	156
PENG0000011992	0	0	0	0	0	0	0	0
PENG0000011993	0	0	0	0	0	0	0	0
PENG0000011994	19	39	34	16	4	10	25	10
PENG0000011995	212	652	484	401	442	753	1330	1080
PENG0000011996	1646	2742	2455	2261	1193	1148	2328	1903
PENG0000011997	0	0	0	0	0	0	0	0
PENG0000011998	14	28	63	22	20	21	72	16
PENG0000011999	0	0	3	0	1	0	1	0
PENG0000012000	0	0	0	0	0	0	0	0
PENG0000012001	1901	2013	2599	1855	1257	812	2549	1328
PENG0000012002	0	0	1	3	0	0	4	2
PENG0000012003	0	0	0	0	0	0	0	0
PENG0000012004	0	0	0	0	1	0	1	0
PENG0000012005	275	320	342	230	127	73	257	249
PENG0000012006	0	0	0	0	0	0	0	0
PENG0000012007	24	46	20	35	17	32	12	43
PENG0000012008	502	761	651	505	289	99	502	155
PENG0000012009	0	0	0	0	0	0	0	0
PENG0000012010	2893	2933	3462	2333	3638	2418	5543	4087
PENG0000012011	1	3	0	0	0	1	2	1
PENG0000012012	0	0	1	0	0	0	0	0
PENG0000012013	457	592	321	478	310	245	298	390
PENG0000012014	0	0	0	0	0	0	0	0
PENG0000012015	3	2	6	4	6	0	9	7
PENG0000012016	0	0	0	0	0	0	0	0
PENG0000012017	0	0	0	0	1	0	0	0
PENG0000012018	24	69	35	40	10	13	23	8
PENG0000012019	0	0	0	0	0	1	0	0
PENG0000012020	114	191	247	182	96	129	229	230
PENG0000012021	1748	2062	1599	1472	1212	849	1490	1224
PENG0000012022	0	0	0	0	0	0	0	0
PENG0000012023	0	0	0	0	0	0	0	0
PENG0000012024	1	1	2	3	2	1	1	0
PENG0000012025	0	0	0	0	0	0	0	0
PENG0000012026	0	0	0	0	0	0	0	0
PENG0000012027	0	0	0	0	0	0	0	0
PENG0000012028	0	0	0	0	0	0	0	0
PENG0000012029	0	0	0	0	0	0	0	0
PENG0000012030	0	0	0	0	0	0	0	0
PENG0000012031	0	0	0	0	0	0	0	0
PENG0000012032	0	0	0	0	0	0	0	0
PENG0000012033	0	0	1	0	1	0	0	0
PENG0000012034	537	670	575	510	514	491	560	678
PENG0000012035	468	515	483	479	369	368	602	548
PENG0000012036	9623	10503	11748	9275	8325	7373	14491	11110
PENG0000012037	283	243	316	194	221	123	275	240
PENG0000012038	613	454	399	441	644	198	469	476
PENG0000012039	137	208	203	123	168	136	285	160
PENG0000012040	2760	3035	2663	2713	1886	1587	2774	2031
PENG0000012041	12	28	26	18	15	11	20	12
PENG0000012042	1429	1434	983	1744	1340	1141	1480	1886
PENG0000012043	780	904	886	689	663	536	995	680
PENG0000012044	711	733	803	740	455	422	854	568
PENG0000012045	0	0	0	0	0	0	0	0
PENG0000012046	0	0	0	0	0	0	0	0
PENG0000012047	1010	964	1147	885	928	638	1619	828
PENG0000012048	599	552	609	439	533	297	793	442
PENG0000012049	3	8	6	3	4	2	5	4
PENG0000012050	459	505	506	380	446	255	627	403
PENG0000012051	753	808	838	716	737	579	1105	705
PENG0000012052	21	36	10	30	7	6	4	8
PENG0000012053	0	0	0	0	0	0	0	0
PENG0000012054	3	2	4	10	6	3	2	2
PENG0000012055	1297	1280	1545	1566	738	491	1208	771
PENG0000012056	4914	6196	5768	4256	4837	3462	6876	4669
PENG0000012057	0	0	0	0	0	0	0	0
PENG0000012058	0	2	1	1	1	1	0	0
PENG0000012059	266	291	292	221	290	159	356	205
PENG0000012060	0	0	0	0	0	0	0	0
PENG0000012061	0	0	0	0	0	0	0	0
PENG0000012062	18	17	29	34	14	11	35	27
PENG0000012063	0	0	0	0	0	0	0	0
PENG0000012064	326	419	397	334	488	507	829	695
PENG0000012065	934	1074	1024	805	948	675	1377	1075
PENG0000012066	20	12	16	18	16	15	13	10
PENG0000012067	0	0	0	0	0	0	0	0
PENG0000012068	5	12	8	8	10	5	18	1
PENG0000012069	74	108	130	108	104	123	167	132
PENG0000012070	0	0	0	0	0	0	0	0
PENG0000012071	0	0	0	0	0	0	0	0
PENG0000012072	0	0	0	0	0	0	0	0
PENG0000012073	7	11	2	2	8	4	6	2
PENG0000012074	2	1	0	3	0	0	4	3
PENG0000012075	2295	3424	2929	2207	1822	1804	4314	2067
PENG0000012076	0	0	0	0	0	0	0	0
PENG0000012077	415	589	630	378	409	351	793	448
PENG0000012078	235	312	292	226	199	143	334	211
PENG0000012079	0	0	0	0	0	0	0	0
PENG0000012080	423	401	352	294	364	194	444	260
PENG0000012081	0	0	0	0	0	0	0	0
PENG0000012082	0	1	2	1	0	1	3	0
PENG0000012083	412	535	478	373	392	217	569	329
PENG0000012084	176	168	436	180	110	76	362	107
PENG0000012085	0	0	0	0	0	0	0	0
PENG0000012086	0	0	0	0	0	0	0	0
PENG0000012087	0	0	0	0	0	0	0	0
PENG0000012088	0	0	0	0	0	0	0	0
PENG0000012089	5	22	4	0	2	0	2	3
PENG0000012090	215	269	163	212	125	161	199	111
PENG0000012091	0	0	1	0	0	0	0	0
PENG0000012092	91	125	107	114	100	133	315	229
PENG0000012093	4353	4738	5781	4381	3748	3184	7458	5006
PENG0000012094	161	199	229	151	147	112	341	165
PENG0000012095	37	56	41	29	35	25	42	31
PENG0000012096	143	156	121	127	119	56	102	103
PENG0000012097	7	17	6	9	6	12	10	5
PENG0000012098	94	48	182	142	118	48	255	185
PENG0000012099	3182	3734	3670	2726	2661	2350	4146	2972
PENG0000012100	0	0	0	0	0	0	0	0
PENG0000012101	0	0	0	0	0	0	0	0
PENG0000012102	994	1249	1287	911	863	701	1547	1191
PENG0000012103	1503	1544	1360	1128	1555	837	1862	1268
PENG0000012104	0	0	0	0	0	1	0	1
PENG0000012105	0	0	1	0	0	0	0	0
PENG0000012106	0	0	0	0	0	0	0	0
PENG0000012107	893	1016	820	762	1086	801	1350	1419
PENG0000012108	126	62	39	73	96	54	94	55
PENG0000012109	316	484	379	368	235	205	321	322
PENG0000012110	0	0	0	0	0	0	0	0
PENG0000012111	0	0	0	0	0	0	0	0
PENG0000012112	973	1386	1470	1077	1335	1228	2254	1594
PENG0000012113	26	30	27	22	14	10	24	19
PENG0000012114	0	0	0	0	0	0	0	1
PENG0000012115	0	1	0	0	0	0	1	0
PENG0000012116	0	0	0	0	0	0	0	0
PENG0000012117	0	1	0	0	0	0	1	0
PENG0000012118	0	0	0	0	0	0	0	0
PENG0000012119	23	31	32	62	22	22	25	43
PENG0000012120	215	260	226	187	103	98	273	101
PENG0000012121	232	170	215	155	166	113	141	159
PENG0000012122	2910	2655	3457	2291	1491	641	2490	1188
PENG0000012123	0	0	0	0	0	0	0	0
PENG0000012124	2465	2574	2873	1921	2085	1508	3231	2108
PENG0000012125	0	0	0	0	0	0	0	0
PENG0000012126	1	1	1	0	0	0	0	0
PENG0000012127	854	820	807	754	751	400	849	650
PENG0000012128	0	0	0	0	0	0	0	0
PENG0000012129	7	13	8	13	5	12	11	3
PENG0000012130	0	0	1	0	0	0	1	0
PENG0000012131	25	38	25	33	26	19	25	15
PENG0000012132	393	405	413	335	380	237	483	336
PENG0000012133	0	0	0	0	0	0	0	0
PENG0000012134	0	0	0	0	0	0	0	0
PENG0000012135	119	137	109	101	185	156	256	213
PENG0000012136	342	364	230	391	426	434	748	760
PENG0000012137	29	70	45	41	88	213	286	383
PENG0000012138	0	8	2	6	3	1	3	4
PENG0000012139	1654	1370	1355	1189	6003	3868	8824	4961
PENG0000012140	0	0	0	0	0	0	0	0
PENG0000012141	176	199	216	143	97	92	156	126
PENG0000012142	1	0	6	1	5	6	4	8
PENG0000012143	149	207	141	177	74	50	141	131
PENG0000012144	0	0	0	0	0	0	0	0
PENG0000012145	0	0	0	0	0	0	1	0
PENG0000012146	0	0	0	0	0	0	0	0
PENG0000012147	73	52	43	24	86	23	57	23
PENG0000012148	0	0	1	0	0	0	0	0
PENG0000012149	577	657	635	618	497	493	887	815
PENG0000012150	764	611	435	492	607	249	564	493
PENG0000012151	0	0	0	0	0	0	0	0
PENG0000012152	0	0	0	0	0	0	0	0
PENG0000012153	2	1	0	0	1	2	1	2
PENG0000012154	3617	7505	5212	4666	4066	5467	19161	5625
PENG0000012155	316	776	342	430	127	223	231	246
PENG0000012156	1	0	2	0	0	0	1	2
PENG0000012157	2	2	4	2	0	1	0	0
PENG0000012158	0	0	0	0	0	0	0	0
PENG0000012159	94	102	341	286	53	28	238	200
PENG0000012160	4	7	3	1	146	88	41	100
PENG0000012161	233	360	437	159	179	175	353	153
PENG0000012162	15	11	8	15	10	3	6	7
PENG0000012163	310	251	356	229	196	147	405	204
PENG0000012164	3	67	34	14	6	75	294	67
PENG0000012165	1495	1276	923	968	1402	928	1385	1077
PENG0000012166	0	0	0	0	0	0	0	0
PENG0000012167	19	15	21	16	49	20	66	32
PENG0000012168	103	129	150	113	76	56	125	101
PENG0000012169	0	0	0	0	0	0	0	0
PENG0000012170	0	0	0	0	0	0	0	0
PENG0000012171	716	760	792	574	608	416	1068	627
PENG0000012172	232	329	291	286	239	279	444	418
PENG0000012173	1140	1529	1440	956	1097	927	1899	1281
PENG0000012174	0	0	0	0	0	0	0	0
PENG0000012175	0	0	0	0	0	0	0	0
PENG0000012176	0	0	0	0	0	0	0	0
PENG0000012177	0	0	0	0	0	0	0	0
PENG0000012178	446	381	346	362	550	389	593	722
PENG0000012179	393	376	375	228	300	155	409	249
PENG0000012180	0	0	0	0	0	0	0	0
PENG0000012181	0	0	0	0	1	0	0	0
PENG0000012182	527	440	395	386	636	337	888	470
PENG0000012183	0	0	0	0	1	0	0	0
PENG0000012184	1244	1372	1339	1168	1415	1109	2169	1566
PENG0000012185	0	0	0	0	0	0	0	0
PENG0000012186	171	173	162	119	152	86	167	93
PENG0000012187	0	0	0	0	0	0	0	0
PENG0000012188	0	1	2	1	0	0	0	0
PENG0000012189	1	4	0	2	1	0	1	2
PENG0000012190	2	0	1	1	0	1	4	0
PENG0000012191	0	0	0	0	0	0	0	0
PENG0000012192	284	470	313	441	539	529	643	894
PENG0000012193	1	14	3	5	25	90	73	123
PENG0000012194	0	0	0	0	0	0	0	0
PENG0000012195	1192	1328	1328	1015	1067	908	1719	1025
PENG0000012196	7428	9211	10663	6055	12142	8506	25292	13285
PENG0000012197	0	0	0	0	0	0	0	0
PENG0000012198	1	1	3	0	1	0	0	0
PENG0000012199	81	61	56	59	63	27	59	50
PENG0000012200	273	291	297	259	224	153	365	247
PENG0000012201	662	633	572	519	559	356	674	525
PENG0000012202	0	0	0	0	0	0	0	0
PENG0000012203	0	0	0	0	0	0	0	0
PENG0000012204	1558	1932	2079	1451	1469	939	2068	1454
PENG0000012205	41	52	27	14	31	46	73	33
PENG0000012206	0	0	0	0	0	0	0	0
PENG0000012207	0	0	0	0	0	0	1	0
PENG0000012208	0	0	0	0	0	0	0	0
PENG0000012209	2	16	3	6	5	34	0	3
PENG0000012210	3	2	3	2	4	1	0	0
PENG0000012211	0	0	0	0	0	0	0	0
PENG0000012212	0	0	0	0	0	0	0	0
PENG0000012213	0	0	0	0	0	0	0	0
PENG0000012214	0	0	0	0	0	0	0	0
PENG0000012215	0	0	0	0	0	0	0	0
PENG0000012216	0	0	0	0	0	0	0	0
PENG0000012217	0	0	0	0	0	0	0	0
PENG0000012218	0	0	1	0	0	0	0	0
PENG0000012219	411	498	413	357	327	326	554	313
PENG0000012220	3	2	3	0	4	1	2	1
PENG0000012221	512	572	474	417	599	371	788	566
PENG0000012222	0	0	0	0	0	0	0	0
PENG0000012223	0	0	0	0	1	0	0	0
PENG0000012224	3088	4163	4396	3026	4059	5194	9314	6611
PENG0000012225	425	545	518	474	411	386	716	545
PENG0000012226	0	1	0	0	0	1	0	0
PENG0000012227	986	1492	1299	836	723	579	1337	762
PENG0000012228	0	0	0	0	0	0	0	0
PENG0000012229	0	0	0	0	0	0	0	0
PENG0000012230	18	29	20	14	38	35	58	29
PENG0000012231	0	1	0	1	0	2	0	4
PENG0000012232	2	0	0	2	1	0	1	1
PENG0000012233	150	151	181	131	134	82	214	129
PENG0000012234	0	0	0	1	0	0	0	0
PENG0000012235	297	312	320	299	254	218	385	311
PENG0000012236	889	1047	1581	1178	823	586	1768	1097
PENG0000012237	1	0	0	0	0	0	0	1
PENG0000012238	0	0	0	0	0	0	0	0
PENG0000012239	1	0	0	1	0	0	1	0
PENG0000012240	0	0	0	0	0	0	0	0
PENG0000012241	3	1	1	1	3	3	1	4
PENG0000012242	10	2	2	1	21	6	11	6
PENG0000012243	0	0	0	0	0	0	0	1
PENG0000012244	322	349	336	280	321	216	411	301
PENG0000012245	0	0	0	0	0	0	0	0
PENG0000012246	0	0	0	0	0	0	0	0
PENG0000012247	0	0	0	0	0	0	0	0
PENG0000012248	299	326	393	240	402	241	792	383
PENG0000012249	0	0	0	0	0	0	0	0
PENG0000012250	111	277	286	130	75	79	231	125
PENG0000012251	0	0	0	0	0	0	0	0
PENG0000012252	0	0	0	0	0	0	0	0
PENG0000012253	0	0	0	0	0	0	0	0
PENG0000012254	0	0	0	0	0	0	0	0
PENG0000012255	354	396	368	313	253	182	335	233
PENG0000012256	0	0	0	0	0	0	0	0
PENG0000012257	0	0	0	0	0	0	0	0
PENG0000012258	0	0	0	1	1	0	0	0
PENG0000012259	0	0	0	0	1	0	0	0
PENG0000012260	330	363	356	327	339	258	422	359
PENG0000012261	6	9	0	7	2	10	1	1
PENG0000012262	0	0	0	0	0	0	0	0
PENG0000012263	3	1	1	1	1	1	3	2
PENG0000012264	3	7	0	0	1	2	0	0
PENG0000012265	377	342	422	312	342	299	609	372
PENG0000012266	53	58	51	51	38	29	103	103
PENG0000012267	226	258	297	210	252	249	555	340
PENG0000012268	599	531	507	588	668	441	844	740
PENG0000012269	265	284	325	198	201	86	297	140
PENG0000012270	2	4	0	3	2	2	3	3
PENG0000012271	0	0	0	0	0	0	0	0
PENG0000012272	0	1	1	0	0	0	0	0
PENG0000012273	287	373	321	249	307	210	407	237
PENG0000012274	1	2	3	0	1	2	3	0
PENG0000012275	235	452	329	376	301	262	512	436
PENG0000012276	0	0	0	0	1	0	0	1
PENG0000012277	6	6	14	6	0	2	10	11
PENG0000012278	957	1067	1170	905	629	586	1269	717
PENG0000012279	1373	1609	1580	1123	1325	1067	1981	1384
PENG0000012280	0	0	0	0	0	0	0	0
PENG0000012281	643	753	787	566	641	520	1074	732
PENG0000012282	52	31	74	30	62	64	159	61
PENG0000012283	0	0	0	0	0	1	2	0
PENG0000012284	0	0	0	0	0	0	1	1
PENG0000012285	1590	1939	2220	1421	1426	863	2427	1135
PENG0000012286	0	0	0	0	0	0	0	0
PENG0000012287	451	480	450	309	370	262	600	290
PENG0000012288	675	715	679	553	462	277	682	458
PENG0000012289	19	6	2	3	11	12	11	10
PENG0000012290	232	637	89	245	69	56	40	53
PENG0000012291	91	151	178	146	58	101	167	159
PENG0000012292	0	0	0	0	0	0	0	0
PENG0000012293	0	0	0	0	0	0	0	0
PENG0000012294	2390	2847	2746	2283	1666	1415	2704	1663
PENG0000012295	8	12	15	11	10	4	11	10
PENG0000012296	0	0	0	0	0	0	0	0
PENG0000012297	794	864	879	726	745	569	984	898
PENG0000012298	16	25	33	16	31	21	49	17
PENG0000012299	0	0	1	1	1	0	1	0
PENG0000012300	75	94	86	54	60	32	83	68
PENG0000012301	176	172	186	128	201	99	244	140
PENG0000012302	499	381	302	624	286	117	222	235
PENG0000012303	35	78	60	58	49	49	88	58
PENG0000012304	20	16	4	5	10	4	0	3
PENG0000012305	11315	21430	12159	14140	7377	12936	17686	15450
PENG0000012306	0	0	0	1	0	0	0	0
PENG0000012307	157	185	189	143	162	147	283	148
PENG0000012308	450	663	828	512	542	475	1463	803
PENG0000012309	0	0	0	0	0	0	0	0
PENG0000012310	0	0	0	0	0	0	0	0
PENG0000012311	355	407	329	304	454	295	458	393
PENG0000012312	38	9	5	9	29	4	8	9
PENG0000012313	0	0	0	0	0	0	0	0
PENG0000012314	49	90	79	68	47	40	140	51
PENG0000012315	0	0	0	0	0	0	0	0
PENG0000012316	932	512	617	654	815	374	744	791
PENG0000012317	0	0	0	0	0	0	0	0
